Date,Number of patients
18/10/2017,33
19/10/2017,35
20/10/2017,48
21/10/2017,39
22/10/2017,43
23/10/2017,40
24/10/2017,29
25/10/2017,28
26/10/2017,36
27/10/2017,51
28/10/2017,38
29/10/2017,43
30/10/2017,56
31/10/2017,38
01/11/2017,36
02/11/2017,53
03/11/2017,39
04/11/2017,34
05/11/2017,35
06/11/2017,56
07/11/2017,45
08/11/2017,35
09/11/2017,51
10/11/2017,39
11/11/2017,46
12/11/2017,40
13/11/2017,49
14/11/2017,38
15/11/2017,30
16/11/2017,55
17/11/2017,60
18/11/2017,43
19/11/2017,52
20/11/2017,42
21/11/2017,37
22/11/2017,43
23/11/2017,39
24/11/2017,46
25/11/2017,38
26/11/2017,57
27/11/2017,50
28/11/2017,42
29/11/2017,37
30/11/2017,51
01/12/2017,37
02/12/2017,41
03/12/2017,54
04/12/2017,64
05/12/2017,39
06/12/2017,53
07/12/2017,36
08/12/2017,45
09/12/2017,61
10/12/2017,39
11/12/2017,66
12/12/2017,53
13/12/2017,56
14/12/2017,68
15/12/2017,49
16/12/2017,63
17/12/2017,64
18/12/2017,78
19/12/2017,59
20/12/2017,65
21/12/2017,79
22/12/2017,77
23/12/2017,62
24/12/2017,56
25/12/2017,77
26/12/2017,97
27/12/2017,92
28/12/2017,86
29/12/2017,82
30/12/2017,96
31/12/2017,77
01/01/2018,97
02/01/2018,87
03/01/2018,81
04/01/2018,90
05/01/2018,74
06/01/2018,80
07/01/2018,82
08/01/2018,90
09/01/2018,55
10/01/2018,53
11/01/2018,76
12/01/2018,84
13/01/2018,51
14/01/2018,76
15/01/2018,65
16/01/2018,50
17/01/2018,55
18/01/2018,72
19/01/2018,64
20/01/2018,73
21/01/2018,65
22/01/2018,50
23/01/2018,52
24/01/2018,49
25/01/2018,70
26/01/2018,73
27/01/2018,43
28/01/2018,70
29/01/2018,69
30/01/2018,61
31/01/2018,55
01/02/2018,71
02/02/2018,62
03/02/2018,56
04/02/2018,66
05/02/2018,70
06/02/2018,48
07/02/2018,56
08/02/2018,77
09/02/2018,57
10/02/2018,72
11/02/2018,64
12/02/2018,69
13/02/2018,74
14/02/2018,63
15/02/2018,82
16/02/2018,76
17/02/2018,65
18/02/2018,68
19/02/2018,49
20/02/2018,72
21/02/2018,58
22/02/2018,73
23/02/2018,60
24/02/2018,57
25/02/2018,50
26/02/2018,58
27/02/2018,44
28/02/2018,55
01/03/2018,68
02/03/2018,60
03/03/2018,56
04/03/2018,44
05/03/2018,58
06/03/2018,50
07/03/2018,47
08/03/2018,62
09/03/2018,55
10/03/2018,49
11/03/2018,59
12/03/2018,55
13/03/2018,47
14/03/2018,33
15/03/2018,63
16/03/2018,47
17/03/2018,53
18/03/2018,45
19/03/2018,59
20/03/2018,41
21/03/2018,53
22/03/2018,65
23/03/2018,62
24/03/2018,63
25/03/2018,43
26/03/2018,66
27/03/2018,49
28/03/2018,57
29/03/2018,62
30/03/2018,47
31/03/2018,56
01/04/2018,64
02/04/2018,43
03/04/2018,52
04/04/2018,53
05/04/2018,58
06/04/2018,65
07/04/2018,47
08/04/2018,54
09/04/2018,58
10/04/2018,43
11/04/2018,43
12/04/2018,61
13/04/2018,51
14/04/2018,42
15/04/2018,42
16/04/2018,68
17/04/2018,28
18/04/2018,32
19/04/2018,51
20/04/2018,36
21/04/2018,50
22/04/2018,55
23/04/2018,48
24/04/2018,41
25/04/2018,38
26/04/2018,54
27/04/2018,42
28/04/2018,49
29/04/2018,54
30/04/2018,52
01/05/2018,40
02/05/2018,46
03/05/2018,47
04/05/2018,51
05/05/2018,54
06/05/2018,50
07/05/2018,46
08/05/2018,39
09/05/2018,42
10/05/2018,37
11/05/2018,46
12/05/2018,43
13/05/2018,42
14/05/2018,53
15/05/2018,33
16/05/2018,31
17/05/2018,45
18/05/2018,51
19/05/2018,45
20/05/2018,56
21/05/2018,46
22/05/2018,45
23/05/2018,34
24/05/2018,46
25/05/2018,35
26/05/2018,46
27/05/2018,57
28/05/2018,55
29/05/2018,42
30/05/2018,33
31/05/2018,44
01/06/2018,53
02/06/2018,47
03/06/2018,52
04/06/2018,51
05/06/2018,29
06/06/2018,30
07/06/2018,43
08/06/2018,36
09/06/2018,36
10/06/2018,50
11/06/2018,35
12/06/2018,35
13/06/2018,37
14/06/2018,56
15/06/2018,47
16/06/2018,48
17/06/2018,41
18/06/2018,48
19/06/2018,31
20/06/2018,26
21/06/2018,47
22/06/2018,49
23/06/2018,49
24/06/2018,33
25/06/2018,46
26/06/2018,30
27/06/2018,32
28/06/2018,51
29/06/2018,52
30/06/2018,40
01/07/2018,49
02/07/2018,51
03/07/2018,35
04/07/2018,42
05/07/2018,41
06/07/2018,33
07/07/2018,43
08/07/2018,46
09/07/2018,47
10/07/2018,30
11/07/2018,34
12/07/2018,38
13/07/2018,36
14/07/2018,35
15/07/2018,38
16/07/2018,43
17/07/2018,30
18/07/2018,31
19/07/2018,43
20/07/2018,43
21/07/2018,42
22/07/2018,38
23/07/2018,39
24/07/2018,20
25/07/2018,27
26/07/2018,53
27/07/2018,36
28/07/2018,43
29/07/2018,45
30/07/2018,30
31/07/2018,32
01/08/2018,32
02/08/2018,44
03/08/2018,40
04/08/2018,36
05/08/2018,33
06/08/2018,34
07/08/2018,24
08/08/2018,37
09/08/2018,42
10/08/2018,45
11/08/2018,33
12/08/2018,41
13/08/2018,44
14/08/2018,36
15/08/2018,39
16/08/2018,42
17/08/2018,41
18/08/2018,43
19/08/2018,39
20/08/2018,41
21/08/2018,28
22/08/2018,34
23/08/2018,39
24/08/2018,36
25/08/2018,42
26/08/2018,38
27/08/2018,33
28/08/2018,21
29/08/2018,25
30/08/2018,33
31/08/2018,43
01/09/2018,46
02/09/2018,31
03/09/2018,42
04/09/2018,31
05/09/2018,45
06/09/2018,40
07/09/2018,43
08/09/2018,39
09/09/2018,40
10/09/2018,50
11/09/2018,35
12/09/2018,37
13/09/2018,49
14/09/2018,52
15/09/2018,44
16/09/2018,39
17/09/2018,43
18/09/2018,39
19/09/2018,38
20/09/2018,49
21/09/2018,50
22/09/2018,50
23/09/2018,47
24/09/2018,43
25/09/2018,44
26/09/2018,36
27/09/2018,64
28/09/2018,42
29/09/2018,46
30/09/2018,54
01/10/2018,70
02/10/2018,43
03/10/2018,50
04/10/2018,47
05/10/2018,64
06/10/2018,43
07/10/2018,42
08/10/2018,48
09/10/2018,23
10/10/2018,46
11/10/2018,54
12/10/2018,43
13/10/2018,43
14/10/2018,53
15/10/2018,53
16/10/2018,42
17/10/2018,41
18/10/2018,55
19/10/2018,35
20/10/2018,46
21/10/2018,53
22/10/2018,51
23/10/2018,40
24/10/2018,45
25/10/2018,37
26/10/2018,41
27/10/2018,37
28/10/2018,40
29/10/2018,59
30/10/2018,43
31/10/2018,35
01/11/2018,55
02/11/2018,52
03/11/2018,57
04/11/2018,64
05/11/2018,56
06/11/2018,46
07/11/2018,42
08/11/2018,55
09/11/2018,65
10/11/2018,51
11/11/2018,62
12/11/2018,55
13/11/2018,36
14/11/2018,41
15/11/2018,59
16/11/2018,45
17/11/2018,39
18/11/2018,53
19/11/2018,49
20/11/2018,44
21/11/2018,43
22/11/2018,43
23/11/2018,45
24/11/2018,51
25/11/2018,60
26/11/2018,55
27/11/2018,50
28/11/2018,39
29/11/2018,60
30/11/2018,52
01/12/2018,47
02/12/2018,50
03/12/2018,44
04/12/2018,50
05/12/2018,48
06/12/2018,54
07/12/2018,58
08/12/2018,49
09/12/2018,63
10/12/2018,48
11/12/2018,47
12/12/2018,46
13/12/2018,65
14/12/2018,72
15/12/2018,67
16/12/2018,55
17/12/2018,59
18/12/2018,46
19/12/2018,51
20/12/2018,61
21/12/2018,60
22/12/2018,67
23/12/2018,52
24/12/2018,48
25/12/2018,70
26/12/2018,79
27/12/2018,82
28/12/2018,95
29/12/2018,78
30/12/2018,69
31/12/2018,63
01/01/2019,78
02/01/2019,66
03/01/2019,79
04/01/2019,76
05/01/2019,55
06/01/2019,89
07/01/2019,84
08/01/2019,64
09/01/2019,43
10/01/2019,76
11/01/2019,68
12/01/2019,55
13/01/2019,64
14/01/2019,64
15/01/2019,51
16/01/2019,57
17/01/2019,60
18/01/2019,61
19/01/2019,68
20/01/2019,54
21/01/2019,90
22/01/2019,40
23/01/2019,53
24/01/2019,76
25/01/2019,68
26/01/2019,54
27/01/2019,78
28/01/2019,82
29/01/2019,55
30/01/2019,61
31/01/2019,65
01/02/2019,65
02/02/2019,78
03/02/2019,59
04/02/2019,78
05/02/2019,61
06/02/2019,54
07/02/2019,64
08/02/2019,77
09/02/2019,79
10/02/2019,48
11/02/2019,74
12/02/2019,54
13/02/2019,65
14/02/2019,62
15/02/2019,64
16/02/2019,57
17/02/2019,61
18/02/2019,52
19/02/2019,50
20/02/2019,69
21/02/2019,83
22/02/2019,83
23/02/2019,68
24/02/2019,60
25/02/2019,73
26/02/2019,53
27/02/2019,63
28/02/2019,58
01/03/2019,92
02/03/2019,57
03/03/2019,56
04/03/2019,62
05/03/2019,60
06/03/2019,74
07/03/2019,69
08/03/2019,66
09/03/2019,66
10/03/2019,60
11/03/2019,63
12/03/2019,56
13/03/2019,49
14/03/2019,72
15/03/2019,73
16/03/2019,64
17/03/2019,61
18/03/2019,54
19/03/2019,43
20/03/2019,51
21/03/2019,56
22/03/2019,52
23/03/2019,67
24/03/2019,64
25/03/2019,41
26/03/2019,42
27/03/2019,45
28/03/2019,38
29/03/2019,39
30/03/2019,47
31/03/2019,18
